Grupo,Test,Command,Result
GrupoI,27,FALSE,FALSE
GrupoI,28,FALSE,FALSE
GrupoI,29,FALSE,FALSE
GrupoI,30,FALSE,FALSE
GrupoI,35,FALSE,FALSE
GrupoI,36,FALSE,FALSE
GrupoI,38,FALSE,FALSE
GrupoI,39,FALSE,FALSE
GrupoI,41,FALSE,FALSE
GrupoI,43,FALSE,FALSE
GrupoI,44,FALSE,FALSE
GrupoI,48,FALSE,FALSE
GrupoI,49,FALSE,FALSE
GrupoI,50,FALSE,FALSE
GrupoI,51,FALSE,FALSE
GrupoI,52,FALSE,FALSE
GrupoI,53,FALSE,FALSE
GrupoI,54,FALSE,FALSE
GrupoI,58,FALSE,FALSE
GrupoI,59,FALSE,FALSE
GrupoI,66,FALSE,FALSE
GrupoI,67,FALSE,FALSE
GrupoK,33,TRUE,FALSE
GrupoK,42,TRUE,FALSE
GrupoK,52,TRUE,FALSE
GrupoK,53,TRUE,FALSE
GrupoK,54,TRUE,FALSE
GrupoK,56,TRUE,FALSE
GrupoK,69,FALSE,FALSE
GrupoK,70,TRUE,FALSE
GrupoL,14,FALSE,FALSE
GrupoL,35,FALSE,FALSE
GrupoL,38,FALSE,FALSE
GrupoL,50,FALSE,FALSE
GrupoL,51,FALSE,FALSE
GrupoL,52,FALSE,FALSE
GrupoL,53,FALSE,FALSE
GrupoL,67,FALSE,FALSE
GrupoN_Z,41,TRUE,FALSE
GrupoN_Z,66,TRUE,FALSE
GrupoO,59,FALSE,FALSE
GrupoO,60,FALSE,FALSE
GrupoP_Z,58,FALSE,FALSE
GrupoP_Z,61,TRUE,FALSE
GrupoP_Z,62,TRUE,FALSE
GrupoP_Z,69,TRUE,FALSE
GrupoR_Z,59,FALSE,FALSE
GrupoR_Z,60,FALSE,FALSE
GrupoR_Z,62,TRUE,FALSE
GrupoR_Z,69,TRUE,FALSE
GrupoZ_Z,58,FALSE,FALSE
