Teste,Esperado
asl001,1
asl002,1
asl003,0
asl004,1
asl005,0
asl006,0
asl007,1
asl008,1
asl009,0
asl010,0
asl011,0
asl012,0
asl013,0
asl014,0
asl015,0
asl016,0
asl017,0
asl018,1
asl019,1
asl020,1
asl021,1
asl022,0
asl023,0
asl024,0
asl025,1
asl026,0
asl027,0
asl028,1
asl029,0
asl030,1
asl031,1
asl032,0
asl033,1
asl034,0
asl035,0
asl036,1
asl037,0
asl038,0
asl039,0
asl040,1
asl041,0
asl042,1
asl043,1
asl044,0
asl045,1
asl046,0
asl047,1
asl048,0
asl049,1
asl050,1
asl051,0
asl052,0
asl053,1
asl054,1
asl055,0
asl056,0
asl057,1
asl058,0
asl059,0
asl060,1
asl061,0
asl062,0
asl063,0
asl064,1
asl065,1
asl066,1
asl067,1
asl068,1
asl069,1
asl070,1
asl071,1
asl072,1
asl073,0
asl074,1
asl075,1
asl076,1
asl077,1
asl078,1
asl079,1
asl080,1
asl081,0
asl082,1
asl083,1
asl084,1
asl085,1
asl086,1
asl087,1
asl088,0
asl089,0
asl090,1
asl091,0
asl092,0
asl093,0
asl094,1
asl095,1
asl096,1
asl097,1
asl098,1
asl099,1
asl100,0
asl101,0
asl102,0
asl103,0
asl104,0
asl105,0
asl106,0
asl107,0
asl108,0
asl109,0
asl110,0
asl111,0
asl112,0
asl113,0
asl114,0
