
GrupoA

/home/user/GrupoA /home/user
There are 31 tests
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl00 10 "(ERRO) linha 3: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl01 11 "(ERRO) linha 4: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl02 11 "(ERRO) linha 4: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl03 0 ""
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl04 11 "____________________________ "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl05 11 "____________________________ "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl06 0 "____________________________ "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl07 10 "(ERRO) linha 3: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl08 11 "(ERRO) linha 3: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl09 10 "(ERRO) linha 4: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl10 10 "(ERRO) linha 3: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl11 10 "(ERRO) linha 4: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl12 10 "(ERRO) linha 3: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl13 10 "(ERRO) linha 3: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl14 10 "(ERRO) linha 3: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl15 10 "(ERRO) linha 4: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl16 10 "(ERRO) linha 4: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl17 10 "(ERRO) linha 3: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl18 11 "____________________________ "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl19 0 "____________________________ "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl20 10 "(ERRO) linha 6: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl21 10 "(ERRO) linha 6: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl22 10 "(ERRO) linha 7: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl23 10 "(ERRO) linha 6: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl24 11 "____________________________ "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl25 10 "____________________________ "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl26 0 "____________________________ "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl27 11 "____________________________ "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl28 11 "(ERRO) linha 2: "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl29 0 "____________________________ "
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl30 11 "____________________________ "
/home/user

GrupoB

/home/user/GrupoB /home/user
There are 31 tests
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl00 10 "Error at line 3: Undeclared variable  a  "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl01 11 "Error at line 4: Variable  a  already declared at line 3 "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl02 11 "Error at line 4: Variable  a  already declared at line 3 "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl03 0 "Erro: asd_print_graphviz recebeu parâmetro tree = (nil). "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl04 11 "Error at line 16: Function  f  already declared at line 2 "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl05 11 "Error at line 10: Variable  a  already declared at line 3 "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl06 0 ""
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl07 10 "Error at line 3: Undeclared variable  a  "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl08 11 "Error at line 3: Variable  b  already declared at line 2 "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl09 10 "Error at line 4: Undeclared variable  b  "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl10 10 "Error at line 3: Undeclared variable  a  "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl11 10 "Error at line 4: Undeclared variable  a  "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl12 10 "Error at line 3: Undeclared variable  b  "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl13 10 "Error at line 3: Undeclared variable  a  "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl14 10 "Error at line 3: Undeclared variable  a  "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl15 10 "Error at line 4: Undeclared variable  a  "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl16 10 "Error at line 4: Undeclared function  g  "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl17 10 "Error at line 3: Undeclared function  h  "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl18 11 "Error at line 11: Variable  a  already declared at line 5 "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl19 0 ""
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl20 10 "Error at line 6: Undeclared variable  a  "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl21 10 "Error at line 6: Undeclared variable  a  "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl22 10 "Error at line 7: Undeclared function  g  "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl23 10 "Error at line 6: Undeclared variable  v  "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl24 11 "Error at line 7: Function  f  already declared at line 2 "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl25 10 "Error at line 10: Undeclared function  g  "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl26 0 ""
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl27 11 "Error at line 8: Function  g  already declared at line 2 "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl28 11 "Error at line 2: Variable  a  already declared at line 2 "
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl29 0 ""
GrupoB |DEBUG GrupoB_tests/e4/2024_2/kjl30 11 "Error at line 7: Function  main  already declared at line 2 "
/home/user

GrupoC

/home/user/GrupoC /home/user
There are 31 tests
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl00 10 "ERROR - Linha 3: Identificador  a  referido na linha 3 não declarado. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl01 11 "ERROR - Linha 4: Variável de nome  a  já declarada na linha 3. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl02 11 "ERROR - Linha 4: Variável de nome  a  já declarada na linha 3. "
GrupoC |DEBUG GrupoC_tests/e4/2024_2/kjl03 0 ""
