Grupo,test,TCNO,Decision
GrupoA,z00,0,TRUE
GrupoA,z01,0,TRUE
GrupoA,z02,0,TRUE
GrupoA,z03,0,TRUE
GrupoA,z04,0,TRUE
GrupoA,z05,0,TRUE
GrupoA,z06,0,TRUE
GrupoA,z07,0,TRUE
GrupoA,z08,0,TRUE
GrupoA,z09,0,TRUE
GrupoA,z10,0,TRUE
GrupoA,z11,0,TRUE
GrupoA,z12,0,TRUE
GrupoA,z13,0,TRUE
GrupoA,z14,0,TRUE
GrupoA,z15,0,TRUE
GrupoA,z16,0,TRUE
GrupoA,z17,0,TRUE
GrupoA,z18,0,TRUE
GrupoA,z19,0,TRUE
GrupoA,z20,0,TRUE
GrupoA,z21,0,TRUE
GrupoA,z22,0,TRUE
GrupoA,z23,0,TRUE
GrupoA,z24,0,TRUE
GrupoA,z25,0,TRUE
GrupoA,z26,0,TRUE
GrupoA,z27,0,TRUE
GrupoA,z28,0,TRUE
GrupoA,z29,0,TRUE
GrupoA,z30,0,TRUE
GrupoA,z31,0,TRUE
GrupoA,z32,0,TRUE
GrupoA,z33,0,TRUE
GrupoA,z34,0,TRUE
GrupoA,z35,0,TRUE
GrupoA,z36,0,TRUE
GrupoA,z37,0,TRUE
GrupoA,z38,0,TRUE
GrupoA,z39,0,TRUE
GrupoA,z40,0,TRUE
GrupoA,z41,0,TRUE
GrupoA,z42,0,TRUE
GrupoA,z43,0,TRUE
GrupoA,z44,0,TRUE
GrupoA,z45,0,TRUE
GrupoA,z46,0,TRUE
GrupoA,z48,0,TRUE
GrupoA,z49,0,TRUE
GrupoA,z50,0,TRUE
GrupoA,z51,0,TRUE
GrupoA,z52,0,TRUE
GrupoA,z53,0,TRUE
GrupoA,z54,0,TRUE
GrupoA,z55,0,TRUE
GrupoA,z56,0,TRUE
GrupoA,z57,0,TRUE
GrupoA,z58,0,TRUE
GrupoA,z59,0,TRUE
GrupoB,z00,0,TRUE
GrupoB,z01,0,TRUE
GrupoB,z02,0,TRUE
GrupoB,z03,1,FALSE
GrupoB,z04,0,TRUE
GrupoB,z05,0,TRUE
GrupoB,z06,1,FALSE
GrupoB,z07,0,TRUE
GrupoB,z08,1,FALSE
GrupoB,z09,0,TRUE
GrupoB,z10,0,TRUE
GrupoB,z11,0,TRUE
GrupoB,z12,0,TRUE
GrupoB,z13,0,TRUE
GrupoB,z14,0,TRUE
GrupoB,z15,0,TRUE
GrupoB,z16,0,TRUE
GrupoB,z17,0,TRUE
GrupoB,z18,0,TRUE
GrupoB,z19,0,TRUE
GrupoB,z20,0,TRUE
GrupoB,z21,0,TRUE
GrupoB,z22,0,TRUE
GrupoB,z23,0,TRUE
GrupoB,z24,0,TRUE
GrupoB,z25,0,TRUE
GrupoB,z26,0,TRUE
GrupoB,z27,0,TRUE
GrupoB,z28,0,TRUE
GrupoB,z29,0,TRUE
GrupoB,z30,0,TRUE
GrupoB,z31,0,TRUE
GrupoB,z32,0,TRUE
GrupoB,z33,0,TRUE
GrupoB,z34,0,TRUE
GrupoB,z35,0,TRUE
GrupoB,z36,0,TRUE
GrupoB,z37,0,TRUE
GrupoB,z38,0,TRUE
GrupoB,z39,0,TRUE
GrupoB,z40,0,TRUE
GrupoB,z41,0,TRUE
GrupoB,z42,0,TRUE
GrupoB,z43,0,TRUE
GrupoB,z44,0,TRUE
GrupoB,z45,0,TRUE
GrupoB,z46,0,TRUE
GrupoB,z48,0,TRUE
GrupoB,z49,0,TRUE
GrupoB,z50,0,TRUE
GrupoB,z51,1,FALSE
GrupoB,z52,0,TRUE
GrupoB,z53,0,TRUE
GrupoB,z54,0,TRUE
GrupoB,z55,0,TRUE
GrupoB,z56,0,TRUE
GrupoB,z57,0,TRUE
