Grupo,test,Output
GrupoN,z01,Segmentation fault
GrupoN,z02,Segmentation fault
GrupoN,z03,Segmentation fault
GrupoN,z04,Segmentation fault
GrupoN,z05,Segmentation fault
GrupoN,z06,Segmentation fault
GrupoN,z07,Segmentation fault
GrupoN,z08,Segmentation fault
GrupoN,z09,Segmentation fault
GrupoN,z10,Segmentation fault
GrupoN,z11,Segmentation fault
GrupoN,z12,Segmentation fault
GrupoN,z13,Segmentation fault
GrupoN,z14,Segmentation fault
GrupoN,z15,Segmentation fault
GrupoN,z16,Segmentation fault
GrupoN,z17,Segmentation fault
GrupoN,z18,Segmentation fault
GrupoN,z19,Segmentation fault
GrupoN,z20,Segmentation fault
GrupoN,z21,Segmentation fault
GrupoN,z22,Segmentation fault
GrupoN,z23,Segmentation fault
GrupoN,z24,Segmentation fault
GrupoN,z25,Segmentation fault
GrupoN,z26,Segmentation fault
GrupoN,z27,Segmentation fault
GrupoN,z28,Segmentation fault
GrupoN,z29,Segmentation fault
GrupoN,z30,Segmentation fault
GrupoN,z31,Segmentation fault
GrupoN,z32,Segmentation fault
GrupoN,z33,Segmentation fault
GrupoN,z34,Segmentation fault
GrupoN,z35,Segmentation fault
GrupoN,z36,Segmentation fault
GrupoN,z37,Segmentation fault
GrupoN,z38,Segmentation fault
GrupoN,z39,Segmentation fault
GrupoN,z40,Segmentation fault
GrupoN,z41,Segmentation fault
GrupoN,z42,Segmentation fault
GrupoN,z43,Segmentation fault
GrupoN,z44,Segmentation fault
GrupoN,z45,Segmentation fault
GrupoN,z46,Segmentation fault
GrupoN,z48,Segmentation fault
GrupoN,z49,Segmentation fault
GrupoN,z50,Segmentation fault
GrupoN,z51,Segmentation fault
GrupoN,z52,Segmentation fault
GrupoN,z53,Segmentation fault
GrupoN,z54,Segmentation fault
GrupoN,z55,Segmentation fault
GrupoN,z56,Segmentation fault
GrupoN,z57,Segmentation fault
GrupoN,z58,Segmentation fault
GrupoN,z59,Segmentation fault
