Grupo,test,TCNO,Output,Decision
GrupoA,z00,0,NA,TRUE
GrupoA,z01,0,NA,TRUE
GrupoA,z02,0,NA,TRUE
GrupoA,z03,0,NA,TRUE
GrupoA,z04,0,NA,TRUE
GrupoA,z05,0,NA,TRUE
GrupoA,z06,0,NA,TRUE
GrupoA,z07,0,NA,TRUE
GrupoA,z08,0,NA,TRUE
GrupoA,z09,0,NA,TRUE
GrupoA,z10,0,NA,TRUE
GrupoA,z11,0,NA,TRUE
GrupoA,z12,0,NA,TRUE
GrupoA,z13,0,NA,TRUE
GrupoA,z14,0,NA,TRUE
GrupoA,z15,0,NA,TRUE
GrupoA,z16,0,NA,TRUE
GrupoA,z17,0,NA,TRUE
GrupoA,z18,0,NA,TRUE
GrupoA,z19,0,NA,TRUE
GrupoA,z20,0,NA,TRUE
GrupoA,z21,0,NA,TRUE
GrupoA,z22,0,NA,TRUE
GrupoA,z23,0,NA,TRUE
GrupoA,z24,0,NA,TRUE
GrupoA,z25,0,NA,TRUE
GrupoA,z26,0,NA,TRUE
GrupoA,z27,0,NA,TRUE
GrupoA,z28,0,NA,TRUE
GrupoA,z29,0,NA,TRUE
GrupoA,z30,0,NA,TRUE
GrupoA,z31,0,NA,TRUE
GrupoA,z32,0,NA,TRUE
GrupoA,z33,0,NA,TRUE
GrupoA,z34,0,NA,TRUE
GrupoA,z35,0,NA,TRUE
GrupoA,z36,0,NA,TRUE
GrupoA,z37,0,NA,TRUE
GrupoA,z38,0,NA,TRUE
GrupoA,z39,0,NA,TRUE
GrupoA,z40,0,NA,TRUE
GrupoA,z41,0,NA,TRUE
GrupoA,z42,0,NA,TRUE
GrupoA,z43,0,NA,TRUE
GrupoA,z44,0,NA,TRUE
GrupoA,z45,0,NA,TRUE
GrupoA,z46,0,NA,TRUE
GrupoA,z48,0,NA,TRUE
GrupoA,z49,0,NA,TRUE
GrupoA,z50,0,NA,TRUE
GrupoA,z51,0,NA,TRUE
GrupoA,z52,0,NA,TRUE
GrupoA,z53,0,NA,TRUE
GrupoA,z54,0,NA,TRUE
GrupoA,z55,0,NA,TRUE
GrupoA,z56,0,NA,TRUE
GrupoA,z57,0,NA,TRUE
GrupoA,z58,0,NA,TRUE
